ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
92188111,Audio,Ocellated Turkey,Meleagris ocellata,,Roni Martinez,2018-03-26,2018,3,26,1630,Belize,BZ-OW,Orange Walk,,"Chan Chich Road, Orange Walk District, BZ (17.547, -89.114)",17.5472501,-89.1140899,Adult Male,Call,Not Used,"","",,,Zoom H1,,,,S43992551,"",,,,,Meleagris ocellata,ocetur1,Species,1230,,3.25,4,"",,
83882761,Audio,Ocellated Turkey,Meleagris ocellata,,Jay McGowan,2017-12-28,2017,12,28,728,Mexico,MX-CAM-001,Campeche,Calakmul,"Reserva de la Biosfera Calakmul--Camino Entrada (18.216, -89.767)",18.2160270,-89.7666195,Adult,"Call; Mechanical Sound",Used,"","",,,Sound Devices MixPre3,Telinga Pro 6,"Telinga 22"" Parabola",,S41404704,"",,,Calls and rustling from the same individual in the photos.,"Foraging along side of road. Observed, photographed, and recorded extensively!",Meleagris ocellata,ocetur1,Species,1230,,2.67,3,"",,
65700431,Audio,Ocellated Turkey,Meleagris ocellata,,Daniel Aldana | Ornis Birding Expeditions,2017-03-12,2017,3,12,554,Guatemala,GT-PE,Petén,,PN Tikal--sitio arqueológico,17.2224800,-89.6230700,Adult Male,"Flight Call; Song",Not Used,"","",,,tascam dr40,sennheiser compact mic,,,S35471213,"",,,"just clarifying, first three notes Orange-breasted Falcon",,Meleagris ocellata,ocetur1,Species,1230,,3.33,3,"",,
58635171,Audio,Ocellated Turkey,Meleagris ocellata,,Ian Davies,2017-05-11,2017,5,11,1015,Guatemala,GT-PE,Petén,,PN Tikal--antigua pista de aterrizaje,17.2282424,-89.6058440,Adult Male,Song,Not Used,"","",,,,,,,S36833054,"",,,"Same as ML58634531 and ML58634571. Displaying along roadside, at distance of 2-5m from parabola. I sat down about 10m away and the bird approached me.",photos and audio,Meleagris ocellata,ocetur1,Species,1230,,5.00,11,"",,
58634571,Audio,Ocellated Turkey,Meleagris ocellata,,Ian Davies,2017-05-11,2017,5,11,1015,Guatemala,GT-PE,Petén,,PN Tikal--antigua pista de aterrizaje,17.2282424,-89.6058440,Adult Male,Song,Not Used,"","",,,,,,,S36833054,"",,,"Same as ML58634531 and ML58635171. Displaying along roadside, at distance of 2-5m from parabola. I sat down about 10m away and the bird approached me.",photos and audio,Meleagris ocellata,ocetur1,Species,1230,,4.50,4,"",,
58634531,Audio,Ocellated Turkey,Meleagris ocellata,,Ian Davies,2017-05-11,2017,5,11,1015,Guatemala,GT-PE,Petén,,PN Tikal--antigua pista de aterrizaje,17.2282424,-89.6058440,Adult Male,Song,Not Used,"","",,,,,,,S36833054,"",,,"Same as ML58635171 and ML58634571. Displaying along roadside, at distance of 2-5m from parabola. I sat down about 10m away and the bird approached me. Favorite recordings I've made!",photos and audio,Meleagris ocellata,ocetur1,Species,1230,,4.67,6,"",,
33207501,Audio,Ocellated Turkey,Meleagris ocellata,,Ross Gallardy,2016-08-17,2016,8,17,630,Mexico,MX-CAM-001,Campeche,Calakmul,Reserva de la Biosfera Calakmul--Zona Arqueológica de Calakmul,18.1133450,-89.8033067,Juvenile,Call,Unspecified,"","",,,,,,,S31165370,"",,,calls of flushed bird,"Only 3 on drive in, but along drive out around 3:00 pm we encounter to large flocks including many young birds",Meleagris ocellata,ocetur1,Species,1230,,3.67,3,"",,
33207491,Audio,Ocellated Turkey,Meleagris ocellata,,Ross Gallardy,2016-08-17,2016,8,17,630,Mexico,MX-CAM-001,Campeche,Calakmul,Reserva de la Biosfera Calakmul--Zona Arqueológica de Calakmul,18.1133450,-89.8033067,Juvenile,Call,Unspecified,"","",,,,,,,S31165370,"",,,calls from juvenile and adult birds in flock,"Only 3 on drive in, but along drive out around 3:00 pm we encounter to large flocks including many young birds",Meleagris ocellata,ocetur1,Species,1230,,4.33,3,"",,
195260,Audio,Ocellated Turkey,Meleagris ocellata,"Trogon melanocephalus -- Black-headed Trogon; Myiozetetes similis -- Social Flycatcher; Uropsila leucogastra -- White-bellied Wren; Hylocichla mustelina -- Wood Thrush; Pheugopedius maculipectus -- Spot-breasted Wren; Psittaciformes sp. (parrot sp.) -- parrot sp.",Kathi Borgmann,2014-02-24,2014,2,24,620,Guatemala,GT-PE,Petén,,Tikal,17.2282424,-89.6058440,Unknown – 1,Call,Not Used,"","",,,MARANTZ PMD 661,Sennheiser ME 67,,,,"",,,Habitat: Tropical scrub. Along old airstrip. One individual calling from a tree approximately 10 m high.,,Meleagris ocellata,ocetur1,Species,1230,,2.00,4,"",,
166514,Audio,Ocellated Turkey,Meleagris ocellata,,Timothy C. Salzman,2011-04-19,2011,4,19,459,Belize,BZ-OW,Orange Walk,,Hill Bank Field Station,17.6014200,-88.7007500,Adult Male – 1,"Call; Courtship, Display, or Copulation; Dawn Song",Not Used,"","",,,MARANTZ PMD 661,Sennheiser ME 66,,,,"",19.5,,"LNS: 100Hz AUHipass filter applied in soundBlade. Other Behaviors: Advertise, Contact, Perform Courtship Display. Habitat: Palm Forest, Campus.",,Meleagris ocellata,ocetur1,Species,1230,,2.00,4,"",,
148622,Audio,Ocellated Turkey,Meleagris ocellata,,Bret Whitney,1992-05-14,1992,5,14,0,Belize,BZ-OW,Orange Walk,,Chan Chich Lodge,,,"","",Unspecified,"","",,,NAGRA 4.2,Sennheiser ME 80,,,,"",,,,,Meleagris ocellata,ocetur1,Species,1230,,3.00,4,"",,
133187,Audio,Ocellated Turkey,Meleagris ocellata,,Mike Andersen,2003-03-18,2003,3,18,645,Mexico,MX-CAM,Campeche,,Calakmul,18.1343333,-89.7836667,Adult – 1,Call,Not Used,"","",,,HHB PORTADISC MDP 500,Sennheiser MKH 70,,,,"",,,NOTES: Clucking calls.,,Meleagris ocellata,ocetur1,Species,1230,,2.00,4,"",,
102559,Audio,Ocellated Turkey,Meleagris ocellata,,Linda Macaulay,1997-02-19,1997,2,19,930,Belize,BZ-OW,Orange Walk,,"Gallon Jug; Chan Chich Lodge",17.4166667,-89.0000000,"Adult Female – 6; Adult Male – 1","Call; Courtship, Display, or Copulation",Not Used,"","",,,SONY TC-D5 PRO II,Sennheiser MKH 60,,,S38793445,"",,,"NOTES: At garbage dump of lodge, a male displaying with 6 females in the area, wing noise and calls, he segregated 2 females from the group, display described on tape. Other Behaviors: Mate, Perform Visual Display.",,Meleagris ocellata,ocetur1,Species,1230,,4.00,4,"",,
55403,Audio,Ocellated Turkey,Meleagris ocellata,,Dale Delaney,1988-02-10,1988,2,10,630,Guatemala,GT-PE,Petén,,60.0 km N of Santa Elena (ruins Of Tikal),,,Adult Male – 1,"Courtship, Display, or Copulation; Song",Not Used,"","",,,SONY TCM-5000EV,Sennheiser ME 88,,,,"",,,"NOTES: Breeding status: territorial. Visual Display with Sound: wings lowered & vibrating. Other Behaviors: Advertise, Court. Habitat: Forest, Evergreen Forest, Deciduous Forest.",,Meleagris ocellata,ocetur1,Species,1230,,3.00,4,"",,
28165,Audio,Ocellated Turkey,Meleagris ocellata,,Arnoud B. van den Berg,1981-07-07,1981,7,7,635,Guatemala,GT-PE,Petén,,Tikal,17.2166667,-89.6166667,Adult Male – 1,"Call; Foraging or Eating",Not Used,"","",,,SONY TC-150,,Parabola 45.7cm (18in),,,"",,,"NOTES: (Breeding Status:  Not territorial; General Climate: Wet)  Weak ""bok"" sounds while walking away through forest. Response to playback: No response. Other Behaviors: Emit Alarm. Habitat: Rainforest, Evergreen Forest, Field, Thicket/Brush, Second-growth.",,Meleagris ocellata,ocetur1,Species,1230,,1.00,4,"",,
